SNP	BETA_TRUE
rs1	0.000000e+00
rs2	0.000000e+00
rs3	0.000000e+00
rs4	0.000000e+00
rs5	1.388709e-01
rs6	0.000000e+00
rs7	0.000000e+00
rs8	0.000000e+00
rs9	0.000000e+00
rs10	0.000000e+00
rs11	0.000000e+00
rs12	0.000000e+00
rs13	0.000000e+00
rs14	0.000000e+00
rs15	0.000000e+00
rs16	0.000000e+00
rs17	0.000000e+00
rs18	0.000000e+00
rs19	0.000000e+00
rs20	0.000000e+00
rs21	0.000000e+00
rs22	0.000000e+00
rs23	0.000000e+00
rs24	0.000000e+00
rs25	0.000000e+00
rs26	0.000000e+00
rs27	0.000000e+00
rs28	0.000000e+00
rs29	0.000000e+00
rs30	0.000000e+00
rs31	0.000000e+00
rs32	-5.747523e-02
rs33	0.000000e+00
rs34	0.000000e+00
rs35	4.611774e-02
rs36	0.000000e+00
rs37	0.000000e+00
rs38	0.000000e+00
rs39	0.000000e+00
rs40	0.000000e+00
rs41	0.000000e+00
rs42	0.000000e+00
rs43	0.000000e+00
rs44	0.000000e+00
rs45	0.000000e+00
rs46	0.000000e+00
rs47	0.000000e+00
rs48	-3.967864e-03
rs49	0.000000e+00
rs50	0.000000e+00
rs51	0.000000e+00
rs52	0.000000e+00
rs53	0.000000e+00
rs54	0.000000e+00
rs55	0.000000e+00
rs56	0.000000e+00
rs57	0.000000e+00
rs58	0.000000e+00
rs59	0.000000e+00
rs60	0.000000e+00
rs61	0.000000e+00
rs62	0.000000e+00
rs63	0.000000e+00
rs64	0.000000e+00
rs65	0.000000e+00
rs66	-2.720073e-02
rs67	1.290403e-01
rs68	2.004849e-01
rs69	0.000000e+00
rs70	0.000000e+00
rs71	0.000000e+00
rs72	0.000000e+00
rs73	0.000000e+00
rs74	0.000000e+00
rs75	0.000000e+00
rs76	0.000000e+00
rs77	0.000000e+00
rs78	0.000000e+00
rs79	0.000000e+00
rs80	0.000000e+00
rs81	0.000000e+00
rs82	0.000000e+00
rs83	0.000000e+00
rs84	0.000000e+00
rs85	0.000000e+00
rs86	0.000000e+00
rs87	0.000000e+00
rs88	0.000000e+00
rs89	0.000000e+00
rs90	0.000000e+00
rs91	-1.038380e-01
rs92	0.000000e+00
rs93	0.000000e+00
rs94	0.000000e+00
rs95	0.000000e+00
rs96	0.000000e+00
rs97	0.000000e+00
rs98	0.000000e+00
rs99	0.000000e+00
rs100	0.000000e+00
rs101	0.000000e+00
rs102	0.000000e+00
rs103	1.745362e-03
rs104	0.000000e+00
rs105	0.000000e+00
rs106	0.000000e+00
rs107	0.000000e+00
rs108	0.000000e+00
rs109	0.000000e+00
rs110	0.000000e+00
rs111	0.000000e+00
rs112	0.000000e+00
rs113	0.000000e+00
rs114	0.000000e+00
rs115	0.000000e+00
rs116	0.000000e+00
rs117	0.000000e+00
rs118	0.000000e+00
rs119	0.000000e+00
rs120	-5.117597e-02
rs121	0.000000e+00
rs122	0.000000e+00
rs123	0.000000e+00
rs124	0.000000e+00
rs125	0.000000e+00
rs126	0.000000e+00
rs127	0.000000e+00
rs128	0.000000e+00
rs129	7.624513e-02
rs130	0.000000e+00
rs131	0.000000e+00
rs132	0.000000e+00
rs133	0.000000e+00
rs134	0.000000e+00
rs135	0.000000e+00
rs136	0.000000e+00
rs137	0.000000e+00
rs138	0.000000e+00
rs139	0.000000e+00
rs140	0.000000e+00
