SNP	BETA_TRUE
rs1	0.000000e+00
rs2	0.000000e+00
rs3	0.000000e+00
rs4	0.000000e+00
rs5	0.000000e+00
rs6	0.000000e+00
rs7	0.000000e+00
rs8	0.000000e+00
rs9	1.269000e-01
rs10	0.000000e+00
rs11	0.000000e+00
rs12	2.361266e-02
rs13	0.000000e+00
rs14	0.000000e+00
rs15	0.000000e+00
rs16	0.000000e+00
rs17	0.000000e+00
rs18	0.000000e+00
rs19	3.802232e-02
rs20	0.000000e+00
rs21	0.000000e+00
rs22	0.000000e+00
rs23	0.000000e+00
rs24	0.000000e+00
rs25	0.000000e+00
rs26	7.093969e-02
rs27	0.000000e+00
rs28	0.000000e+00
rs29	0.000000e+00
rs30	0.000000e+00
rs31	0.000000e+00
rs32	0.000000e+00
rs33	0.000000e+00
rs34	0.000000e+00
rs35	0.000000e+00
rs36	0.000000e+00
rs37	0.000000e+00
rs38	0.000000e+00
rs39	0.000000e+00
rs40	0.000000e+00
rs41	0.000000e+00
rs42	0.000000e+00
rs43	0.000000e+00
rs44	0.000000e+00
rs45	0.000000e+00
rs46	0.000000e+00
rs47	0.000000e+00
rs48	1.570597e-01
rs49	0.000000e+00
rs50	0.000000e+00
rs51	0.000000e+00
rs52	0.000000e+00
rs53	0.000000e+00
rs54	0.000000e+00
rs55	0.000000e+00
rs56	7.735908e-02
rs57	0.000000e+00
rs58	0.000000e+00
rs59	0.000000e+00
rs60	0.000000e+00
rs61	0.000000e+00
rs62	0.000000e+00
rs63	0.000000e+00
rs64	0.000000e+00
rs65	0.000000e+00
rs66	0.000000e+00
rs67	-1.125897e-02
rs68	0.000000e+00
rs69	-8.137492e-02
rs70	0.000000e+00
rs71	1.376463e-01
rs72	0.000000e+00
rs73	0.000000e+00
rs74	0.000000e+00
rs75	0.000000e+00
rs76	0.000000e+00
rs77	0.000000e+00
rs78	0.000000e+00
rs79	0.000000e+00
rs80	0.000000e+00
rs81	8.681633e-02
rs82	0.000000e+00
rs83	0.000000e+00
rs84	0.000000e+00
rs85	0.000000e+00
rs86	0.000000e+00
rs87	0.000000e+00
rs88	0.000000e+00
rs89	0.000000e+00
rs90	-6.300853e-02
rs91	0.000000e+00
rs92	0.000000e+00
rs93	0.000000e+00
rs94	0.000000e+00
rs95	0.000000e+00
rs96	0.000000e+00
rs97	0.000000e+00
rs98	0.000000e+00
rs99	0.000000e+00
rs100	0.000000e+00
rs101	0.000000e+00
rs102	0.000000e+00
rs103	8.257823e-02
rs104	0.000000e+00
rs105	0.000000e+00
rs106	0.000000e+00
rs107	2.558583e-02
rs108	0.000000e+00
rs109	0.000000e+00
rs110	0.000000e+00
rs111	0.000000e+00
rs112	0.000000e+00
rs113	0.000000e+00
rs114	0.000000e+00
rs115	0.000000e+00
rs116	0.000000e+00
rs117	0.000000e+00
rs118	1.323886e-01
rs119	0.000000e+00
rs120	0.000000e+00
rs121	0.000000e+00
rs122	0.000000e+00
rs123	0.000000e+00
rs124	1.110475e-01
rs125	0.000000e+00
rs126	0.000000e+00
rs127	0.000000e+00
rs128	0.000000e+00
rs129	0.000000e+00
rs130	0.000000e+00
rs131	0.000000e+00
rs132	0.000000e+00
rs133	0.000000e+00
rs134	0.000000e+00
rs135	0.000000e+00
rs136	0.000000e+00
rs137	0.000000e+00
rs138	0.000000e+00
rs139	3.578320e-02
rs140	0.000000e+00
